host_id,number_of_listings,number_of_actual_bookings_042017,number_of_predicted_bookings_042017,number_of_actual_bookings_052017,number_of_predicted_bookings_052017,number_of_actual_bookings_062017,number_of_predicted_bookings_062017,number_of_actual_bookings_072017,number_of_predicted_bookings_072017,number_of_actual_bookings_082017,number_of_predicted_bookings_082017,number_of_actual_bookings_092017,number_of_predicted_bookings_092017,number_of_actual_bookings_102017,number_of_predicted_bookings_102017,number_of_actual_bookings_112017,number_of_predicted_bookings_112017,number_of_actual_bookings_122017,number_of_predicted_bookings_122017,number_of_actual_bookings_012018,number_of_predicted_bookings_012018,number_of_actual_bookings_022018,number_of_predicted_bookings_022018
16151285,3,0.0,0.0,0.33,0.0,0.67,0.264,0.0,0.5888,1.0,0.11776,0.33,0.823552,1.67,0.4287104,1.33,1.4217421,0.33,1.3483484,0.33,0.53366965,0.33,0.37073392
16286162,3,1.0,0.0,0.33,0.8,1.67,0.424,3.0,1.4208,1.0,2.68416,2.0,1.336832,3.0,1.8673664,1.33,2.7734733,1.0,1.6186947,1.67,1.1237389,0.33,1.5607477
16954768,3,4.33,3.67,5.33,4.198,5.67,5.1036,4.67,5.55672,4.33,4.847344,5.0,4.433469,4.0,4.886694,4.0,4.1773386,1.33,4.0354676,1.33,1.8710935,0.67,1.4382187
17051201,3,0.0,0.0,0.33,0.0,0.33,0.264,0.0,0.3168,0.67,0.06336,0.67,0.548672,0.0,0.6457344,0.33,0.12914689,0.0,0.28982937,0.33,0.057965875,0.0,0.27559316
17479416,3,0.0,0.0,1.67,0.0,0.67,1.336,0.67,0.8032,1.33,0.69664,1.0,1.203328,1.33,1.0406656,1.33,1.2721331,1.33,1.3184266,1.33,1.3276854,0.33,1.329537
18397763,6,1.33,0.17,0.17,1.098,0.33,0.3556,0.67,0.33512,0.33,0.603024,0.83,0.3846048,1.17,0.74092096,0.83,1.0841842,0.5,0.88083684,0.5,0.57616735,0.33,0.51523346
18836774,4,0.0,0.0,0.75,0.0,1.0,0.6,0.75,0.92,0.25,0.784,0.75,0.3568,0.25,0.67136,1.5,0.334272,0.25,1.2668544,0.25,0.45337087,0.5,0.29067418
19597910,3,0.33,0.67,0.0,0.398,3.0,0.0796,1.0,2.41592,2.33,1.283184,2.0,2.1206367,2.67,2.0241272,1.33,2.5408254,0.67,1.5721651,1.0,0.85043305,1.67,0.97008663
20828747,3,4.67,3.0,7.0,4.336,3.0,6.4672,5.67,3.69344,4.33,5.274688,3.0,4.5189376,5.33,3.3037875,4.33,4.9247575,3.33,4.4489517,6.33,3.5537903,2.33,5.774758
21228368,5,0.2,0.2,0.8,0.2,0.8,0.68,0.4,0.776,0.4,0.4752,0.4,0.41504,0.8,0.40300798,1.0,0.7206016,0.2,0.94412035,0.2,0.34882408,0.0,0.22976482
21641206,3,8.67,4.33,8.33,7.802,9.33,8.2244,8.0,9.10888,8.67,8.221776,9.0,8.580356,7.33,8.916071,10.67,7.6472144,7.33,10.065443,9.67,7.8770885,5.0,9.311418
22927481,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23334165,3,0.67,0.0,0.67,0.536,1.0,0.6432,1.67,0.92864,0.67,1.521728,2.0,0.8403456,1.33,1.7680691,0.67,1.4176139,1.0,0.8195228,2.33,0.96390456,0.33,2.0567808
23533897,3,0.0,0.0,1.33,0.0,1.67,1.064,1.33,1.5488,0.0,1.37376,1.67,0.274752,2.0,1.3909504,1.33,1.87819,0.33,1.439638,1.0,0.5519276,1.0,0.91038555
25237492,10,0.1,0.0,0.1,0.08,0.2,0.096,0.3,0.1792,0.2,0.27583998,0.7,0.215168,0.3,0.6030336,0.3,0.36060673,0.3,0.31212133,0.4,0.30242425,0.2,0.38048485
